Time,Time Code,Country Name,Country Code,GDP per capita (current US$) [NY.GDP.PCAP.CD],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]"
2019,YR2019,Afghanistan,AFG,496.6025043,62.941
2019,YR2019,Albania,ALB,6069.439031,79.467
2019,YR2019,Algeria,DZA,4468.453419,75.682
2019,YR2019,American Samoa,ASM,12886.13595,72.751
2019,YR2019,Andorra,AND,41257.81646,84.098
2019,YR2019,Angola,AGO,2493.678844,63.051
2019,YR2019,Antigua and Barbuda,ATG,18896.37218,77.168
2019,YR2019,Argentina,ARG,9955.974787,76.847
2019,YR2019,Armenia,ARM,4597.228874,76.22195122
2019,YR2019,Aruba,ABW,30645.8906,76.019
2019,YR2019,Australia,AUS,55194.75851,82.9
2019,YR2019,Austria,AUT,49885.99474,81.89512195
2019,YR2019,Azerbaijan,AZE,4805.753718,73.29
2019,YR2019,"Bahamas, The",BHS,33640.33699,71.408
2019,YR2019,Bahrain,BHR,27259.74386,80.471
2019,YR2019,Bangladesh,BGD,2129.79897,72.625
2019,YR2019,Barbados,BRB,21912.15012,76.495
2019,YR2019,Belarus,BLR,6837.773396,74.22682927
2019,YR2019,Belgium,BEL,46716.62275,81.99512195
2019,YR2019,Belize,BLZ,6171.614498,72.577
2019,YR2019,Benin,BEN,1130.821353,59.888
2019,YR2019,Bermuda,BMU,115798.0408,81.251
2019,YR2019,Bhutan,BTN,3576.879871,72.005
2019,YR2019,Bolivia,BOL,4203.154929,67.82
2019,YR2019,Bosnia and Herzegovina,BIH,6122.375414,77.394
2019,YR2019,Botswana,BWA,7172.089565,67.167
2019,YR2019,Brazil,BRA,9029.833044,75.809
2019,YR2019,British Virgin Islands,VGB,..,76.845
2019,YR2019,Brunei Darussalam,BRN,30426.57307,75.049
2019,YR2019,Bulgaria,BGR,10353.72046,75.11219512
2019,YR2019,Burkina Faso,BFA,764.8530778,60.184
2019,YR2019,Burundi,BDI,234.3106159,62.18
2019,YR2019,Cabo Verde,CPV,4380.781173,75.449
2019,YR2019,Cambodia,KHM,2225.877055,70.127
2019,YR2019,Cameroon,CMR,1555.226605,61.695
2019,YR2019,Canada,CAN,46352.86934,82.16365854
2019,YR2019,Cayman Islands,CYM,88254.29025,79.052
2019,YR2019,Central African Republic,CAF,449.2284676,31.53
2019,YR2019,Chad,TCD,893.3364416,52.993
2019,YR2019,Channel Islands,CHI,60564.6294,81.2
2019,YR2019,Chile,CHL,14495.71672,80.324
2019,YR2019,China,CHN,10342.90095,77.94
2019,YR2019,Colombia,COL,6472.545449,76.793
2019,YR2019,Comoros,COM,1510.232182,65.662
2019,YR2019,"Congo, Dem. Rep.",COD,504.0041914,60.242
2019,YR2019,"Congo, Rep.",COG,2488.424667,63.152
2019,YR2019,Costa Rica,CRI,12884.686,80.296
2019,YR2019,Cote d'Ivoire,CIV,2141.768362,60.274
2019,YR2019,Croatia,HRV,15563.59873,78.22439024
2019,YR2019,Cuba,CUB,9232.261159,77.413
2019,YR2019,Curacao,CUW,19220.68658,76.492
2019,YR2019,Cyprus,CYP,29227.17383,81.454
2019,YR2019,Czechia,CZE,24062.719,79.22926829
2019,YR2019,Denmark,DNK,59404.26632,81.45121951
2019,YR2019,Djibouti,DJI,2837.169023,64.381
2019,YR2019,Dominica,DMA,9491.14996,71.305
2019,YR2019,Dominican Republic,DOM,8183.016236,73.112
2019,YR2019,Ecuador,ECU,6205.057652,77.286
2019,YR2019,"Egypt, Arab Rep.",EGY,2962.98892,71.213
2019,YR2019,El Salvador,SLV,4320.116715,71.725
2019,YR2019,Equatorial Guinea,GNQ,6804.149231,62.297
