Time,"Time Code","Country Name","Country Code","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Population, total [SP.POP.TOTL]"
2021,"YR2021","Afghanistan","AFG","61.982","40099462"
2021,"YR2021","Albania","ALB","76.463","2811666"
2021,"YR2021","Algeria","DZA","76.377","44177969"
2021,"YR2021","American Samoa","ASM","NA","45035"
2021,"YR2021","Andorra","AND","NA","79034"
2021,"YR2021","Angola","AGO","61.643","34503774"
2021,"YR2021","Antigua and Barbuda","ATG","78.497","93219"
2021,"YR2021","Argentina","ARG","75.39","45808747"
2021,"YR2021","Armenia","ARM","72.043","2790974"
2021,"YR2021","Aruba","ABW","74.626","106537"
2021,"YR2021","Australia","AUS","83.3","25688079"
2021,"YR2021","Austria","AUT","81.2390243902439","8955797"
2021,"YR2021","Azerbaijan","AZE","69.366","10137750"
2021,"YR2021","Bahamas, The","BHS","71.598","407906"
2021,"YR2021","Bahrain","BHR","78.76","1463265"
2021,"YR2021","Bangladesh","BGD","72.381","169356251"
2021,"YR2021","Barbados","BRB","77.571","281200"
2021,"YR2021","Belarus","BLR","72.3706829268293","9340314"
2021,"YR2021","Belgium","BEL","81.890243902439","11592952"
2021,"YR2021","Belize","BLZ","70.47","400031"
2021,"YR2021","Benin","BEN","59.821","12996895"
2021,"YR2021","Bermuda","BMU","79.28","63867"
2021,"YR2021","Bhutan","BTN","71.815","777486"
2021,"YR2021","Bolivia","BOL","63.63","12079472"
2021,"YR2021","Bosnia and Herzegovina","BIH","75.3","3270943"
2021,"YR2021","Botswana","BWA","61.141","2588423"
2021,"YR2021","Brazil","BRA","72.75","214326223"
2021,"YR2021","British Virgin Islands","VGB","74.494","31122"
2021,"YR2021","Brunei Darussalam","BRN","74.642","445373"
2021,"YR2021","Bulgaria","BGR","71.5146341463415","6877743"
2021,"YR2021","Burkina Faso","BFA","59.27","22100683"
2021,"YR2021","Burundi","BDI","61.663","12551213"
2021,"YR2021","Cabo Verde","CPV","74.052","587925"
2021,"YR2021","Cambodia","KHM","69.584","16589023"
2021,"YR2021","Cameroon","CMR","60.333","27198628"
2021,"YR2021","Canada","CAN","82.5966097560976","38246108"
2021,"YR2021","Cayman Islands","CYM","NA","68136"
2021,"YR2021","Central African Republic","CAF","53.895","5457154"
2021,"YR2021","Chad","TCD","52.525","17179740"
2021,"YR2021","Channel Islands","CHI","81.232","172683"
2021,"YR2021","Chile","CHL","78.944","19493184"
2021,"YR2021","China","CHN","78.211","1412360000"
2021,"YR2021","Colombia","COL","72.83","51516562"
2021,"YR2021","Comoros","COM","63.417","821625"
2021,"YR2021","Congo, Dem. Rep.","COD","59.193","95894118"
2021,"YR2021","Congo, Rep.","COG","63.519","5835806"
2021,"YR2021","Costa Rica","CRI","77.023","5153957"
2021,"YR2021","Cote d'Ivoire","CIV","58.598","27478249"
2021,"YR2021","Croatia","HRV","76.4243902439025","3899000"
2021,"YR2021","Cuba","CUB","73.683","11256372"
2021,"YR2021","Curacao","CUW","NA","152369"
2021,"YR2021","Cyprus","CYP","81.203","1244188"
2021,"YR2021","Czechia","CZE","77.3731707317073","10505772"
2021,"YR2021","Denmark","DNK","81.4048780487805","5856733"
2021,"YR2021","Djibouti","DJI","62.305","1105557"
2021,"YR2021","Dominica","DMA","72.814","72412"
2021,"YR2021","Dominican Republic","DOM","72.615","11117873"
2021,"YR2021","Ecuador","ECU","73.67","17797737"
2021,"YR2021","Egypt, Arab Rep.","EGY","70.221","109262178"
2021,"YR2021","El Salvador","SLV","70.748","6314167"
2021,"YR2021","Equatorial Guinea","GNQ","60.594","1634466"
2021,"YR2021","Eritrea","ERI","66.536","3620312"
2021,"YR2021","Estonia","EST","76.7414634146342","1330932"
2021,"YR2021","Eswatini","SWZ","57.066","1192271"
2021,"YR2021","Ethiopia","ETH","64.975","120283026"
2021,"YR2021","Faroe Islands","FRO","83.4975609756098","52889"
2021,"YR2021","Fiji","FJI","67.114","924610"
2021,"YR2021","Finland","FIN","81.9341463414634","5541017"
2021,"YR2021","France","FRA","82.3243902439024","67749632"
2021,"YR2021","French Polynesia","PYF","79.486","304032"
2021,"YR2021","Gabon","GAB","65.821","2341179"
2021,"YR2021","Gambia, The","GMB","62.083","2639916"
2021,"YR2021","Georgia","GEO","71.694","3708610"
2021,"YR2021","Germany","DEU","80.9009756097561","83196078"
2021,"YR2021","Ghana","GHA","63.795","32833031"
2021,"YR2021","Gibraltar","GIB","79.329","32669"
2021,"YR2021","Greece","GRC","80.1829268292683","10641221"
2021,"YR2021","Greenland","GRL","71.1475609756098","56653"
2021,"YR2021","Grenada","GRD","74.936","124610"
2021,"YR2021","Guam","GUM","76.656","170534"
2021,"YR2021","Guatemala","GTM","69.237","17109746"
2021,"YR2021","Guinea","GIN","58.892","13531906"
2021,"YR2021","Guinea-Bissau","GNB","59.652","2060721"
2021,"YR2021","Guyana","GUY","65.673","804567"
2021,"YR2021","Haiti","HTI","63.192","11447569"
2021,"YR2021","Honduras","HND","70.123","10278345"
2021,"YR2021","Hong Kong SAR, China","HKG","85.4926829268293","7413100"
2021,"YR2021","Hungary","HUN","74.4658536585366","9709891"
