Country Name,"Country Code","Time","Time Code","Rule of Law: Estimate [RL.EST]"
Afghanistan,"AFG","2021","YR2021","-1.87143611907959"
Albania,"ALB","2021","YR2021","-0.256100863218308"
Algeria,"DZA","2021","YR2021","-0.816039979457855"
American Samoa,"ASM","2021","YR2021","1.2052298784256"
Andorra,"AND","2021","YR2021","1.71510624885559"
Angola,"AGO","2021","YR2021","-0.952415645122528"
Anguilla,"AIA","2021","YR2021","0.440415441989899"
Antigua and Barbuda,"ATG","2021","YR2021","0.342992603778839"
Argentina,"ARG","2021","YR2021","-0.462304174900055"
Armenia,"ARM","2021","YR2021","-0.0959042459726334"
Aruba,"ABW","2021","YR2021","1.27957165241241"
Australia,"AUS","2021","YR2021","1.67429053783417"
Austria,"AUT","2021","YR2021","1.78803551197052"
Azerbaijan,"AZE","2021","YR2021","-0.584836721420288"
"Bahamas, The","BHS","2021","YR2021","0.102244459092617"
Bahrain,"BHR","2021","YR2021","0.470811009407043"
Bangladesh,"BGD","2021","YR2021","-0.611260771751404"
Barbados,"BRB","2021","YR2021","0.37469220161438"
Belarus,"BLR","2021","YR2021","-1.10014152526855"
Belgium,"BEL","2021","YR2021","1.32595896720886"
Belize,"BLZ","2021","YR2021","-0.77817302942276"
Benin,"BEN","2021","YR2021","-0.593543827533722"
Bermuda,"BMU","2021","YR2021","0.69535356760025"
Bhutan,"BTN","2021","YR2021","0.635634660720825"
Bolivia,"BOL","2021","YR2021","-1.16319286823273"
Bosnia and Herzegovina,"BIH","2021","YR2021","-0.278892189264297"
Botswana,"BWA","2021","YR2021","0.481632828712463"
Brazil,"BRA","2021","YR2021","-0.280396819114685"
Brunei Darussalam,"BRN","2021","YR2021","0.89020574092865"
Bulgaria,"BGR","2021","YR2021","-0.0439175926148891"
Burkina Faso,"BFA","2021","YR2021","-0.43847268819809"
Burundi,"BDI","2021","YR2021","-1.29398632049561"
Cabo Verde,"CPV","2021","YR2021","0.349308013916016"
Cambodia,"KHM","2021","YR2021","-0.900165736675262"
Cameroon,"CMR","2021","YR2021","-1.09744787216187"
Canada,"CAN","2021","YR2021","1.62713325023651"
Cayman Islands,"CYM","2021","YR2021","0.776025593280792"
Central African Republic,"CAF","2021","YR2021","-1.66670978069305"
Chad,"TCD","2021","YR2021","-1.32509255409241"
Chile,"CHL","2021","YR2021","0.914349317550659"
China,"CHN","2021","YR2021","0.0351645424962044"
Colombia,"COL","2021","YR2021","-0.452087342739105"
Comoros,"COM","2021","YR2021","-1.22485589981079"
"Congo, Dem. Rep.","COD","2021","YR2021","-1.70383512973785"
"Congo, Rep.","COG","2021","YR2021","-1.13585698604584"
Cook Islands,"COK","2021","YR2021","NA"
Costa Rica,"CRI","2021","YR2021","0.451845198869705"
Cote d'Ivoire,"CIV","2021","YR2021","-0.633732676506042"
Croatia,"HRV","2021","YR2021","0.302556723356247"
